Variable Name/Key,Figma Preview URL,🟡 DC English Current,⚪ SOURCE English,🟡 DC Español Current,⚪ SOURCE Español,🟡 DC Amharic Current,Suggested Machine Translation,Status,Amharic Status,Environment,Notes
S1 - Landing Page - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6034-16454&t=8l7C0qBZTmPYNmbj-4,Get a one-time payment of $120 in summer food benefits for your student,Get a one-time payment of $120 in summer food benefits for your child,Recibe un pago único de $120 en beneficios de alimentos durante el verano para tu estudiante.,Recibe un pago único de $120 en beneficios de alimentos de verano para tu niño/a.,ለተማሪዎ የበጋ የምግብ ጥቅማጥቅሞች የ$120 የአንድ ጊዜ ክፍያ ያግኙ,ለተማሪዎ የበጋ የምግብ ጥቅማጥቅሞች የአንድ ጊዜ ክፍያ $120 ያግኙ,Ready to Publish,,"Figma, Code",
S1 - Landing Page - Body,,"Each eligible student can receive a *one-time payment of $120*. Families may use the benefit to pay for groceries during the summer months. 

Most eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your student. Tap ""Do I need to apply?"" and enter their information.","Each eligible child can receive a *one-time payment of $120*. Families may use the money to pay for groceries during the summer months. 

Most eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your child. Tap ""Do I need to apply?"" and enter your child's information.","Cada estudiante elegible puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarte si necesitas aplicar. Toqua “¿Necesito aplicar?” e ingresa la información de tu estudiante.  ","Cada estudiante que califica puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarte si deberías aplicar para tu niño/a. Toca “¿Necesito aplicar?” e ingresa la información de tu niño/a.","እያንዳንዱ ብቁ ተማሪ *የ$120 የአንድ ጊዜ ክፍያ* ማግኘት ይችላል። ቤተሰቦች በበጋ ወራት የግሮሰሪ ክፍያ ለመክፈል ጥቅሙን ሊጠቀሙበት ይችላሉ።

አብዛኛዎቹ ብቁ ቤተሰቦች በራስ-ሰር ይመዘገባሉ፣ እና አንዳንዶቹ ማመልከቻ ማስገባት አለባቸው። ለተማሪዎ ማመልከት እንዳለብዎት ልንመክርዎ እንችላለን። ""ማመልከት አለብኝ?"" የሚለውን ጠቅ ያድርጉ እና መረጃቸውን ያስገቡ።","እያንዳንዱ ብቁ ተማሪ *የአንድ ጊዜ ክፍያ 120 ዶላር* ማግኘት ይችላል። ቤተሰቦች በበጋ ወራት የግሮሰሪ ክፍያ ለመክፈል ጥቅሙን ሊጠቀሙበት ይችላሉ።

አብዛኛዎቹ ብቁ ቤተሰቦች በራስ-ሰር ይመዘገባሉ፣ እና አንዳንዶቹ ማመልከቻ ማስገባት አለባቸው። ለተማሪዎ ማመልከት አለብዎት ወይ የሚለውን እንመክራለን። ""ማመልከት አለብኝ?"" የሚለውን ጠቅ ያድርጉ እና መረጃቸውን ያስገቡ።",Ready to Publish,,"Figma, Code",
S1 - Landing Page - Action,,Do I need to apply?,Do I need to apply?,¿Necesito aplicar?,¿Necesito aplicar?,ማመልከት አለብኝ,ማመልከት አለብኝ?,Ready to Publish,,"Figma, Code",
S1 - Landing Page - Action Español,,¿Necesito aplicar?,¿Necesito aplicar?,Do I need to apply?,Do I need to apply?,¿Necesito aplicar?,¿Necesito aplicar?,Ready to Publish,,"Figma, Code",
S1 - Landing Page - Action Amharic,,ማመልከት አለብኝ,ማመልከት አለብኝ,ማመልከት አለብኝ,ማመልከት አለብኝ,Do I need to apply?,መለያ ምልክት,Ready to Publish,,"Figma, Code",
S1 - Landing Page - Action Subtext,,!N/A!,Safe and secure,!N/A!,Seguro y protegido,!N/A!,,!N/A!,,!N/A!,
S1 - Landing Page - Accordion Title,,!N/A!,How do I know if my child can get Summer EBT?,!N/A!,¿Cómo sé si mi niño/a califica para recibir Summer EBT?,!N/A!,,!N/A!,,!N/A!,
S1 - Landing Page - Body 2,,Most students ages 5–18 will **be automatically enrolled** if any of these are true:,Children may be automatically enrolled if we have information to confirm their eligibility. This usually happens for one of the following reasons:,La mayoría de los estudiantes de 5 a 18 años **se inscribirán automáticamente** si se cumple alguna de estas condiciones:,Es posible que inscribamos automáticamente a tus niños si contamos con información para confirmar su elegibilidad. Esto puede suceder por alguno de los siguientes motivos:,ከ5-18 ዓመት ዕድሜ ያላቸው አብዛኛዎቹ ተማሪዎች **ከእነዚህ ውስጥ አንዳቸውም እውነት ከሆኑ** በራስ-ሰር ይመዘገባሉ፦,ከ5-18 ዓመት ዕድሜ ያላቸው አብዛኛዎቹ ተማሪዎች **ከእነዚህ ውስጥ አንዳቸውም እውነት ከሆኑ** በራስ-ሰር ይመዘገባሉ፦,Ready to Publish,,"Figma, Code",
S1 - Landing Page - Body 3,,"They get SNAP or TANF benefits,
They are approved for free or reduced-price school meals,
Are in foster care or experiencing homelessness","They are between ages 6 and 17. And they get SNAP (food stamps), Colorado Works (TANF), Medicaid, or the Food Distribution Program on Indian Reservations (FDPIR)
Or they are temporarily unhoused or in foster care
Or they get free or low-cost meals at school, and they are enrolled in a school that participates in the National School Lunch Program (NSLP)","Reciben beneficios de SNAP o TANF,

tienen aprobación para comidas escolares gratuitas o a precio reducido,

están en un hogar de acogida o son personas sin hogar.","Tienen entre 6 y 17 años y reciben SNAP (cupones de alimentos), Colorado Works (TANF), Medicaid o el Programa de Distribución de Alimentos en Reservas Indígenas (FDPIR)
O, están temporalmente sin hogar o en hogar de acogida (foster care)
O, reciben comidas gratuitas o a bajo costo en la escuela
O, están inscritos/as en una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP)","የSNAP ወይም የTANF ጥቅማ ጥቅሞችን ያገኛሉ፣
ለነፃ ወይም ለዝቅተኛ ዋጋ የትምህርት ቤት ምግቦች የተፈቀደላቸው ናቸው፣
በማደጎ እንክብካቤ ውስጥ ወይም ቤት አልባ ናቸው","የSNAP ወይም የTANF ጥቅማ ጥቅሞችን ያገኛሉ፣
ነፃ ወይም ቅናሽ የትምህርት ቤት ምግብ እንዲያገኙ ተፈቅዶላቸዋል፣
በአሳዳጊ እንክብካቤ ውስጥ ወይም ቤት አልባነት እያጋጠማቸው ከሆነ",Ready to Publish,,"Figma, Code",
S1 - Landing Page - Body 4,,"Families of automatically enrolled students will get a notice by mail or email.

You will need to **submit an application** if your student does **not meet the criteria above, and**","But, children who are not automatically enrolled may still be able to get the benefit. Parents or guardians should fill out an application to see if they qualify. Tap [""Apply now""](link) to see if you need to apply for your child.","Las familias de los estudiantes inscritos automáticamente recibirán un aviso por correo postal o correo electrónico.

**Necesitarás aplicar** si tu estudiante *no* cumple con los criterios anteriores y**","Sin embargo, si tus niños no quedan inscritos/as automáticamente, aún podrían recibir el beneficio. Llena una solicitud para ver si califican. Toca [""Aplica ahora""] (link) para saber si necesitas aplicar.","በራስ-ሰር የተመዘገቡ ተማሪዎች ቤተሰቦች በፖስታ ወይም በኢሜል ማሳወቂያ ይደርሳቸዋል።

ተማሪዎ **ከላይ ያሉትን መስፈርቶች የማያሟላ ከሆነ **ማመልከቻ ማስገባት** ይኖርብዎታል፣ እና**","በራስ-ሰር የተመዘገቡ ተማሪዎች ቤተሰቦች በፖስታ ወይም በኢሜል ማሳወቂያ ይደርሳቸዋል።

ተማሪዎ **ከላይ ያሉትን መስፈርቶች የማያሟላ ከሆነ **ማመልከቻ ማስገባት** ያስፈልግዎታል፣ እና**",Ready to Publish,,"Figma, Code",
