Variable Name/Key,Figma Preview URL,🟢 CO English Current,⚪ SOURCE English,🟢 CO Español Current,⚪ SOURCE Español,Status,Environment,Notes
S1 - Landing Page - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6034-16454&t=YXMlziLO2efq09F2-4,Get $120 in summer food benefits for your child,Get a one-time payment of $120 in summer food benefits for your child,Recibe un pago único de $120 en beneficios de alimentos durante el verano para tu niño/a.,Recibe un pago único de $120 en beneficios de alimentos de verano para tu niño/a.,Ready to Publish,"Figma, Code",
S1 - Landing Page - Body,,"Each eligible child can receive **one $120 payment** for summer groceries.

Most eligible children get their payment automatically. Some need to submit an application. 

We can tell if you should apply for your child. Tap ""Check enrollment"" and enter your child's information.","Each eligible child can receive a **one-time payment of $120**. Families may use the money to pay for groceries during the summer months. 

Most eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your child. Tap ""Do I need to apply?"" and enter your child's information.","Cada niño/a que califica puede recibir un pago único de $120 para comprar alimentos durante el verano.

La mayoría de los niños/as que califican reciben su pago automáticamente. Algunos necesitan aplicar.

Podemos decirte si deberías aplicar para tu niño/a. Toca “Verificar inscripción” e ingresa la información de tu niño/a.","Cada estudiante que califica puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarte si deberías aplicar para tu niño/a. Toca “¿Necesito aplicar?” e ingresa la información de tu niño/a.",Ready to Publish,"Figma, Code",
S1 - Landing Page - Action,,Check enrollment,Do I need to apply?,Verificar inscripción,¿Necesito aplicar?,Ready to Publish,"Figma, Code",
S1 - Landing Page - Action Español,,Verificar inscripción,¿Necesito aplicar?,Check enrollment,Do I need to apply?,Ready to Publish,"Figma, Code",
S1 - Landing Page - Action Amharic,,!N/A!,ማመልከት አለብኝ,!N/A!,ማመልከት አለብኝ,!N/A!,!N/A!,
S1 - Landing Page - Action Subtext,,!N/A!,Safe and secure,!N/A!,Seguro y protegido,!N/A!,!N/A!,
S1 - Landing Page - Accordion Title,,How do I know if my child can get Summer EBT?,How do I know if my child can get Summer EBT?,¿Cómo sé si mi niño/a califica para recibir Summer EBT?,¿Cómo sé si mi niño/a califica para recibir Summer EBT?,Ready to Publish,"Figma, Code",
S1 - Landing Page - Body 2,,Your child may **be automatically enrolled** if they go to a school that offers the National School Breakfast or Lunch Program (NSLP) **and** one of these is true:,Children may be automatically enrolled if we have information to confirm their eligibility. This usually happens for one of the following reasons:,"Tu niño/a puede **inscribirse automáticamente** si asiste a una escuela que ofrece el Programa Nacional de Desayunos o Almuerzos Escolares (NSLP) **y** se cumple una de estas condiciones:
",Es posible que inscribamos automáticamente a tus niños si contamos con información para confirmar su elegibilidad. Esto puede suceder por alguno de los siguientes motivos:,Ready to Publish,"Figma, Code",
S1 - Landing Page - Body 3,,"They receive SNAP or Colorado Works (TANF) benefits,
Everyone in their household combined earns less than 185% of the federal poverty guideline. And, they either receive Health First Colorado (Medicaid) or have submitted an income form to their school,
Are houseless, between homes, in foster care, or in the Migrant Education Program.","They are between ages 6 and 17. And they get SNAP (food stamps), Colorado Works (TANF), Medicaid, or the Food Distribution Program on Indian Reservations (FDPIR)
Or they are temporarily unhoused or in foster care
Or they get free or low-cost meals at school, and they are enrolled in a school that participates in the National School Lunch Program (NSLP)","Recibe beneficios de SNAP o Colorado Works (TANF),

todas las personas de su hogar, sumadas, ganan menos del 185% de las pautas federales de pobreza. Y, además, recibe Health First Colorado (Medicaid) o ha entregado un formulario de ingresos en su escuela,

no tiene vivienda estable, está entre casas, vive en un hogar de acogida o participa en el Programa de Educación para Estudiantes Migrantes (estudiantes en familias de trabajadores agrícolas migrantes).","Tienen entre 6 y 17 años y reciben SNAP (cupones de alimentos), Colorado Works (TANF), Medicaid o el Programa de Distribución de Alimentos en Reservas Indígenas (FDPIR)
O, están temporalmente sin hogar o en hogar de acogida (foster care)
O, reciben comidas gratuitas o a bajo costo en la escuela
O, están inscritos/as en una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP)",Ready to Publish,"Figma, Code",
S1 - Landing Page - Body 4,,"Children ages 6–17 who do not attend a school that offers NSLP but meet any of the above criteria may also **be automatically enrolled**.

If your child is **not automatically enrolled**, you should apply if:","But, children who are not automatically enrolled may still be able to get the benefit. Parents or guardians should fill out an application to see if they qualify. Tap [""Apply now""](link) to see if you need to apply for your child.","Los niños de 6 a 17 años que no asisten a una escuela que ofrece el Programa Nacional de Desayunos o Almuerzos Escolares (NSLP), pero que cumplen con cualquiera de los criterios anteriores, **también pueden inscribirse automáticamente**.

Si tu niño/a **no se inscribe automáticamente**, deberías aplicar si:","Sin embargo, si tus niños no quedan inscritos/as automáticamente, aún podrían recibir el beneficio. Llena una solicitud para ver si califican. Toca [""Aplica ahora""] (link) para saber si necesitas aplicar.",Ready to Publish,"Figma, Code",
